2016-05-27 09:41:47,090 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/vpnusers/{pageNo}/{pageSize}/{vpnUserJson:.+}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.Object> zx.soft.sdn.api.controller.VPNUserController.getVPNUsers(int,int,java.lang.String)
2016-05-27 09:41:47,090 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/vpnusers/{pageNo}/{pageSize}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.Object> zx.soft.sdn.api.controller.VPNUserController.getVPNUsers(int,int,zx.soft.sdn.api.model.VPNUser)
2016-05-27 09:41:47,090 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/vpnusers/{realNumbers}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.List<zx.soft.sdn.api.model.VPNUser> zx.soft.sdn.api.controller.VPNUserController.getVPNUsers(java.lang.String)
2016-05-27 09:41:47,091 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/vpnuser],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public zx.soft.sdn.api.common.HandResult zx.soft.sdn.api.controller.VPNUserController.postVPNUser(zx.soft.sdn.api.model.VPNUser)
2016-05-27 09:41:47,394 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter [Line:523] - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Fri May 27 09:41:44 CST 2016]; root of context hierarchy
2016-05-27 09:41:47,444 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter [Line:523] - Looking for @ControllerAdvice: Root WebApplicationContext: startup date [Fri May 27 09:41:44 CST 2016]; root of context hierarchy
2016-05-27 09:41:47,653 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping [Line:314] - Mapped URL path [/static/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2016-05-27 09:41:47,658 [main] INFO  o.s.web.context.ContextLoader [Line:325] - Root WebApplicationContext: initialization completed in 3298 ms
2016-05-27 09:41:47,744 [main] INFO  /sdn [Line:2057] - Initializing Spring FrameworkServlet 'controller'
2016-05-27 09:41:47,744 [main] INFO  o.s.web.servlet.DispatcherServlet [Line:484] - FrameworkServlet 'controller': initialization started
2016-05-27 09:41:47,747 [main] INFO  o.s.w.c.s.XmlWebApplicationContext [Line:510] - Refreshing WebApplicationContext for namespace 'controller-servlet': startup date [Fri May 27 09:41:47 CST 2016]; parent: Root WebApplicationContext
2016-05-27 09:41:47,747 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader [Line:317] - Loading XML bean definitions from ServletContext resource [/WEB-INF/applicationContext.xml]
2016-05-27 09:41:47,763 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader [Line:317] - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring-mybatis.xml]
2016-05-27 09:41:47,782 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader [Line:317] - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring-ioc.xml]
2016-05-27 09:41:47,792 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader [Line:317] - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring-mvc.xml]
2016-05-27 09:41:47,823 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader [Line:317] - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring-aop.xml]
2016-05-27 09:41:47,865 [main] INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer [Line:172] - Loading properties file from class path resource [db.properties]
2016-05-27 09:41:48,048 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/vpncard/realnumber/{bizIP:.+}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.Object> zx.soft.sdn.api.controller.VPNCardController.getRealNumber(java.lang.String)
2016-05-27 09:41:48,049 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/vpncard/{realNumber}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public zx.soft.sdn.api.model.VPNCard zx.soft.sdn.api.controller.VPNCardController.getVPNCard(java.lang.String)
2016-05-27 09:41:48,049 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/vpncards/{pageNo}/{pageSize}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.Object> zx.soft.sdn.api.controller.VPNCardController.getVPNCards(int,int,zx.soft.sdn.api.model.VPNCard)
2016-05-27 09:41:48,049 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/vpncards/{realNumbers}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.List<zx.soft.sdn.api.model.VPNCard> zx.soft.sdn.api.controller.VPNCardController.getVPNCards(java.lang.String)
2016-05-27 09:41:48,050 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/vpncards/{pageNo}/{pageSize}/{vpnCardJson:.+}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.Object> zx.soft.sdn.api.controller.VPNCardController.getVPNCards(int,int,java.lang.String)
2016-05-27 09:41:48,050 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/vpncard],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public zx.soft.sdn.api.common.HandResult zx.soft.sdn.api.controller.VPNCardController.postVPNCard(zx.soft.sdn.api.model.VPNCard)
2016-05-27 09:41:48,052 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/sdn/vpnuser/{realNumber}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public zx.soft.sdn.api.model.VPNUser zx.soft.sdn.api.controller.SDNController.getVPNUser(java.lang.String)
2016-05-27 09:41:48,052 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/sdn/vpnusers/{realNumbers}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.List<zx.soft.sdn.api.model.VPNUser> zx.soft.sdn.api.controller.SDNController.getVPNUsers(java.lang.String)
2016-05-27 09:41:48,053 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/sdn/vpnusers/{pageNo}/{pageSize}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.Object> zx.soft.sdn.api.controller.SDNController.getVPNUsers(int,int,zx.soft.sdn.api.model.VPNUser)
2016-05-27 09:41:48,053 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/sdn/vpnusers/{pageNo}/{pageSize}/{vpnUserJson:.+}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.Object> zx.soft.sdn.api.controller.SDNController.getVPNUsers(int,int,java.lang.String)
2016-05-27 09:41:48,053 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/sdn/vpncard/realnumber/{bizIP:.+}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.Object> zx.soft.sdn.api.controller.SDNController.getRealNumber(java.lang.String)
2016-05-27 09:41:48,054 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/sdn/vpncard/{realNumber}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public zx.soft.sdn.api.model.VPNCard zx.soft.sdn.api.controller.SDNController.getVPNCard(java.lang.String)
2016-05-27 09:41:48,054 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/sdn/vpncards/{pageNo}/{pageSize}/{vpnCardJson:.+}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.Object> zx.soft.sdn.api.controller.SDNController.getVPNCards(int,int,java.lang.String)
2016-05-27 09:41:48,054 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/sdn/vpncards/{realNumbers}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.List<zx.soft.sdn.api.model.VPNCard> zx.soft.sdn.api.controller.SDNController.getVPNCards(java.lang.String)
2016-05-27 09:41:48,055 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/sdn/vpncards/{pageNo}/{pageSize}],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.Object> zx.soft.sdn.api.controller.SDNController.getVPNCards(int,int,zx.soft.sdn.api.model.VPNCard)
2016-05-27 09:41:48,055 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/sdn/vpncard],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public zx.soft.sdn.api.common.HandResult zx.soft.sdn.api.controller.SDNController.postVPNCard(zx.soft.sdn.api.model.VPNCard)
2016-05-27 09:41:48,055 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping [Line:220] - Mapped "{[/sdn/vpnuser],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public zx.soft.sdn.api.common.HandResult zx.soft.sdn.api.controller.SDNController.postVPNUser(zx.soft.sdn.api.model.VPNUser)
